BU_NUM,BU_BCODE,OPSGRP_BCODE,NAME15,NAME40,BU_SUBTYPE_BCODE,TRADING_SDATE,TRADING_EDATE,ESTAB_BRN_IND
142,142,MS3,WITNEY,Witney,SUPMKT,16SEP1986,,Y
143,143,LSE4,HARROW WEALD,Harrow Weald,SUPMKT,19AUG1986,,Y
152,152,MS5,GOSPORT,Gosport,SUPMKT,17JUL1973,,Y
153,153,MS3,WANTAGE,Wantage,SUPMKT,24SEP1974,,Y
156,156,NE4,DAVENTRY,Daventry,SUPMKT,23APR1974,,Y
157,157,NE5,WEYBRIDGE,Weybridge,SUPMKT,02OCT1973,,Y
161,161,MS4,WINTON,Winton,SUPMKT,21MAR1978,,Y
168,168,MS5,ANDOVER,Andover,SUPMKT,21AUG1990,,Y
170,170,MS5,SOUTHSEA,Southsea,SUPMKT,03JUL1979,,Y
173,173,LSE1,KINGS ROAD,Kings Road,SUPMKT,17NOV1981,,Y
176,176,LSE5,COBHAM,Cobham,SUPMKT,27JUL1982,,Y
178,178,LSE5,CATERHAM,Caterham,SUPMKT,09NOV1982,,Y
180,180,MS3,WOODLEY,Woodley,SUPMKT,24MAY1983,,Y
183,183,NE4,HARPENDEN,Harpenden,SUPMKT,02OCT1984,,Y
184,184,MS3,CAVERSHAM,Caversham,SUPMKT,27NOV1984,,Y
186,186,NE5,NORTHWOOD,Northwood,SUPMKT,10NOV1987,,Y
188,188,LSE3,RICHMOND,Richmond,SUPMKT,22MAR1988,,Y
189,189,MS6,WEST BYFLEET,West Byfleet,SUPMKT,12JUL1988,,Y
190,190,MS3,SUNNINGDALE,Sunningdale,SUPMKT,11OCT1988,,Y
191,191,LSE4,BARNET,Barnet,SUPMKT,14MAR1989,,Y
192,192,NE5,CHESHAM,Chesham,SUPMKT,13JUN1989,,Y
193,193,MS5,BATH,Bath,SUPMKT,28NOV1989,,Y
194,194,NE5,MAIDENHEAD,Maidenhead,SUPMKT,24OCT1989,,Y
195,195,LSE3,KINGSTON,Kingston,SUPMKT,11SEP1990,,Y
196,196,MS6,FLEET,Fleet,SUPMKT,18SEP1990,,Y
198,198,MS6,YATELEY,Yateley,SUPMKT,06NOV1990,,Y
200,200,MISC,HORSHAM,Horsham,SUPMKT,20NOV1990,17JUN2015,Y
201,201,LSE6,TENTERDEN,Tenterden,SUPMKT,04DEC1990,,Y
207,207,LSE2,BLOOMSBURY,Bloomsbury,SUPMKT,20JUL2006,,Y
209,209,MS6,PETERSFIELD,Petersfield,SUPMKT,07SEP1993,,Y
210,210,MS2,STROUD,Stroud,SUPMKT,23NOV1993,,Y
211,211,MS3,ABINGDON,Abingdon,SUPMKT,22MAR1994,,Y
212,212,LSE5,BECKENHAM,Beckenham,SUPMKT,06SEP1994,,Y
219,219,LSE4,SOUTH HARROW,South Harrow,SUPMKT,20MAY1996,,Y
221,221,MS3,WOKINGHAM,Wokingham,SUPMKT,28OCT1996,,Y
222,222,NE3,NORWICH,Norwich,SUPMKT,03OCT1995,,Y
224,224,LSE5,BROMLEY SOUTH,Bromley South,SUPMKT,18NOV1996,,Y
227,227,NE2,NEWARK,Newark,SUPMKT,02SEP1997,,Y
230,230,LSE1,GLOUCESTER ROAD,Gloucester Road,SUPMKT,13APR1999,,Y
231,231,LSE4,SOUTH WOODFORD,South Woodford,SUPMKT,28SEP1999,,Y
232,232,LSE3,SURBITON,Surbiton,SUPMKT,19OCT1999,,Y
235,235,MISC,STAINES,Staines,SUPMKT,05SEP2000,19SEP2017,Y
236,236,LSE2,MARYLEBONE,Marylebone,SUPMKT,16NOV1999,,Y
237,237,MS1+CI,GREAT MALVERN,Great Malvern,SUPMKT,30NOV1999,,Y
